dataset,display_name,samples,features,clusters,proj_dim,runs,ACC_mean,ACC_std,ACC_best,NMI_mean,NMI_std,NMI_best,ARI_mean,ARI_std,ARI_best,iterations_mean,iterations_std,iterations_best,best_seed,best_objective,objective_mean,objective_std
coil-20,COIL-20,1440,1024,20,19,20,0.66875,0.026583424230047406,0.7222222222222222,0.7881584436191447,0.01152475224533061,0.8028138818331708,0.6063724856441223,0.025169281704292907,0.6402098141133343,2.0,0.0,2.0,4,,,
usps,USPS,9298,256,10,9,20,0.6001667025166703,0.0011019353656317162,0.601419660141966,0.5812534398665721,0.001170226188476973,0.5820052739668017,0.49210638503055587,0.0013349663211635091,0.49292732710358317,35.8,4.969379925313143,42.0,7,,,
mnist-t,MNIST-T,5000,784,10,9,10,0.46398,0.025972198811635327,0.5046,0.42009753908755815,0.025116462609046698,0.46251396195223726,0.26864076260691067,0.026089445564117453,0.3121070875229803,35.4,11.720826667849746,18.0,7,,,
mnist-s,MNIST-S,6996,784,10,9,10,0.4398942252715837,0.012258572432096581,0.45511720983419096,0.39634544615804335,0.013292165490675049,0.40846711040442796,0.23966897293563832,0.017549525128748675,0.255691411679222,46.0,31.06266068592465,27.0,0,,,
umist,UMIST,1013,644,20,19,20,0.5668805528134254,0.037241841795928196,0.6307996051332675,0.7725368521948888,0.016110727678948795,0.8093096626152312,0.5180816005616633,0.03270332963188479,0.5735971580635376,2.0,0.0,2.0,17,,,
yaleb,YALE-B,2452,1024,38,37,20,0.1101957585644372,0.009047662802485852,0.12112561174551387,0.15609045195675406,0.012176512829933515,0.16025242418582808,0.024538629182380624,0.0038179631037542454,0.02418991834022442,25.7,12.781977443589119,29.0,15,,,
jaffe,JAFFE,213,676,10,9,50,0.8308920187793427,0.033473989599258236,0.9154929577464789,0.9175204473718995,0.00444070766203476,0.9265094750735925,0.8072374637513339,0.013672309747676394,0.844180825981281,2.0,0.0,2.0,0,,,
pointing04,Pointing04,2790,1120,15,14,20,0.4794802867383513,0.012122894100128907,0.5039426523297491,0.4649613279639686,0.009814744775853368,0.4882993977179112,0.2902577084445191,0.009412674675056862,0.3086538344592587,5.15,1.3869694338832115,6.0,10,,,
mpeg7,MPEG7,581,200,30,29,30,0.6679288582903041,0.017598672839385186,0.7091222030981067,0.7909839008034464,0.00646854247691817,0.7929441792671285,0.5709472605926376,0.014924516138857306,0.5752667982992744,2.1,0.40257789993644877,2.0,22,,,
